payment_id,order_id,method,amount,paid_at,status
1,1,Card,212129.31,2024-12-19 01:57:57,Captured
2,2,COD,55280.64,2024-12-28 21:20:47,Captured
3,3,COD,44304.28,2025-04-03 19:38:48,Captured
4,4,UPI,49947.04,2025-02-04 12:40:07,Captured
5,5,Card,69260.1,2025-04-24 17:01:19,Refunded
6,6,COD,0.0,,Failed
7,7,COD,139297.17,2024-04-22 12:15:10,Captured
8,8,COD,0.0,,Failed
9,9,COD,54917.2,,Authorized
10,10,COD,65793.26,2024-12-19 20:26:10,Captured
11,11,COD,331155.2,2025-04-24 02:55:13,Captured
12,12,Card,0.0,,Failed
13,13,Card,146232.8,2025-02-15 07:44:26,Captured
14,14,COD,0.0,,Failed
15,15,COD,71294.42,2024-07-07 22:08:40,Captured
16,16,NetBanking,75566.02,2025-08-27 11:59:31,Captured
17,17,COD,28625.62,2024-12-09 12:05:42,Captured
18,18,COD,0.0,,Failed
19,19,UPI,88651.04,2025-05-12 20:54:09,Captured
20,20,UPI,24264.34,2024-01-07 07:38:02,Captured
21,21,NetBanking,202319.26,2024-12-23 03:14:48,Captured
22,22,Card,43506.48,,Authorized
23,23,Card,104140.9,2024-03-07 04:01:30,Captured
24,24,Card,72116.17,,Authorized
25,25,NetBanking,47498.54,2025-02-02 20:51:45,Captured
26,26,COD,30605.66,2024-02-26 14:03:39,Captured
27,27,NetBanking,0.0,,Failed
28,28,COD,120361.71,2024-08-16 04:49:22,Captured
29,29,COD,0.0,,Failed
30,30,COD,139322.6,2024-01-01 14:09:30,Captured
31,31,UPI,6726.0,2024-02-11 11:21:49,Captured
32,32,UPI,183435.72,2025-07-07 13:50:16,Captured
33,33,NetBanking,0.0,,Failed
34,34,Card,0.0,,Failed
35,35,Card,15197.22,2024-07-31 10:58:53,Captured
36,36,UPI,0.0,,Failed
37,37,Card,166132.85,2024-11-16 21:54:11,Captured
38,38,NetBanking,18114.24,2024-04-04 12:31:27,Captured
39,39,COD,132588.34,2025-07-03 14:44:02,Captured
40,40,UPI,232038.74,2024-02-17 04:29:38,Captured
41,41,NetBanking,96155.84,2025-01-13 21:02:38,Refunded
42,42,Card,51597.86,2025-03-11 18:01:01,Captured
43,43,NetBanking,222962.18,2025-01-31 02:56:21,Captured
44,44,NetBanking,15185.66,2025-07-24 06:29:49,Captured
45,45,COD,68558.59,2024-11-21 15:01:22,Captured
46,46,UPI,119978.04,2024-04-03 01:51:58,Captured
47,47,UPI,0.0,,Failed
48,48,UPI,0.0,,Failed
49,49,NetBanking,15833.24,2024-01-16 14:56:34,Captured
50,50,Card,0.0,,Failed
51,51,NetBanking,153632.46,2025-04-12 15:26:17,Captured
52,52,NetBanking,0.0,,Failed
53,53,COD,103067.22,2024-04-23 21:19:19,Captured
54,54,Card,0.0,,Failed
55,55,COD,3092.25,2025-04-19 01:26:05,Captured
56,56,UPI,0.0,,Failed
57,57,Card,33373.35,2024-02-27 18:41:53,Refunded
58,58,Card,134265.12,2025-03-31 06:57:50,Captured
59,59,COD,99070.44,2024-01-14 17:06:36,Captured
60,60,COD,98539.09,2024-10-16 02:03:56,Captured
61,61,COD,58314.42,2024-04-10 08:34:22,Captured
62,62,Card,73242.6,2025-01-13 10:16:43,Captured
63,63,Card,57506.12,,Authorized
64,64,Card,197805.52,2024-05-23 19:09:20,Captured
65,65,COD,0.0,,Failed
66,66,Card,62619.06,2025-04-21 05:30:58,Captured
67,67,UPI,23971.7,2024-05-28 11:08:27,Captured
68,68,NetBanking,133651.52,2025-05-05 07:59:10,Captured
69,69,NetBanking,70313.84,2024-06-02 18:41:57,Captured
70,70,NetBanking,26508.7,2024-10-29 08:45:27,Refunded
71,71,Card,106297.94,2025-04-15 12:41:35,Captured
72,72,COD,39644.93,,Authorized
73,73,NetBanking,100002.64,2024-01-31 13:21:16,Captured
74,74,NetBanking,33753.9,2024-07-19 20:52:29,Captured
75,75,UPI,89747.2,2025-07-02 09:18:47,Captured
76,76,Card,109973.17,2024-11-24 08:33:56,Captured
77,77,UPI,130591.78,2025-04-10 14:56:16,Captured
78,78,NetBanking,12556.38,2025-02-10 15:53:09,Captured
79,79,COD,53465.8,,Authorized
80,80,Card,69477.69,2024-04-09 02:16:12,Captured
81,81,Card,157941.29,2025-03-12 09:20:39,Captured
82,82,UPI,43474.74,2025-04-25 11:39:33,Captured
83,83,NetBanking,97726.42,2024-08-06 17:40:05,Captured
84,84,Card,59774.08,2024-06-09 18:26:30,Captured
85,85,UPI,0.0,,Failed
86,86,NetBanking,45299.02,2024-12-14 02:33:11,Captured
87,87,COD,197247.86,2024-02-06 12:39:08,Captured
88,88,NetBanking,209086.5,2024-10-14 21:39:27,Captured
89,89,NetBanking,12954.04,2024-04-14 13:48:05,Captured
90,90,Card,46259.54,2024-04-18 05:07:04,Captured
91,91,UPI,186687.86,2024-09-16 01:38:01,Captured
92,92,NetBanking,33501.44,2025-06-23 18:18:15,Refunded
93,93,UPI,224177.82,2024-04-20 22:15:40,Captured
94,94,Card,122008.46,2024-01-17 09:34:19,Captured
95,95,UPI,101676.71,2024-10-07 14:45:43,Captured
96,96,NetBanking,36851.4,,Authorized
97,97,Card,26132.28,2025-05-10 09:20:20,Captured
98,98,Card,62768.92,2024-02-24 10:00:51,Captured
99,99,COD,17040.32,2024-09-07 15:48:38,Captured
100,100,COD,0.0,,Failed
101,101,UPI,101232.26,2025-02-28 16:57:19,Captured
102,102,COD,47254.28,2024-02-06 20:53:11,Captured
103,103,Card,50610.2,2025-07-27 16:19:07,Captured
104,104,Card,126437.47,2024-04-11 05:53:00,Captured
105,105,Card,86280.3,,Authorized
106,106,UPI,48371.74,2025-06-19 00:02:46,Captured
107,107,UPI,168086.99,2024-03-02 13:51:38,Captured
108,108,COD,44350.3,2024-11-21 07:17:53,Captured
109,109,NetBanking,118316.24,2024-01-24 14:16:02,Captured
110,110,UPI,78507.58,,Authorized
111,111,UPI,76173.72,2025-05-30 10:31:08,Refunded
112,112,Card,30132.48,,Authorized
113,113,UPI,158724.04,2024-02-26 15:49:14,Captured
114,114,Card,286332.9,,Authorized
115,115,Card,10105.52,2024-07-18 19:36:59,Captured
116,116,UPI,0.0,,Failed
117,117,Card,48828.4,2025-07-25 13:06:15,Captured
118,118,UPI,168480.4,2024-12-23 15:11:11,Captured
119,119,NetBanking,41025.06,,Authorized
120,120,Card,160130.07,2025-08-08 08:55:52,Captured
121,121,NetBanking,137659.33,2024-08-29 19:11:57,Captured
122,122,Card,134870.46,,Authorized
123,123,Card,208987.44,2025-06-26 23:54:07,Captured
124,124,COD,109947.62,2025-08-30 10:14:59,Captured
125,125,Card,153641.9,2025-01-14 12:14:19,Captured
126,126,UPI,240101.86,2024-01-10 01:46:53,Captured
127,127,UPI,0.0,,Failed
128,128,UPI,159913.19,2024-06-07 02:15:38,Captured
129,129,NetBanking,129496.86,2025-08-09 07:18:54,Captured
130,130,COD,3363.0,2025-05-30 10:06:19,Refunded
131,131,COD,5402.04,2025-01-24 01:11:27,Captured
132,132,NetBanking,13292.7,2024-09-12 01:59:15,Captured
133,133,COD,0.0,,Failed
134,134,NetBanking,43608.91,2024-12-01 11:28:12,Captured
135,135,UPI,0.0,,Failed
136,136,COD,86531.76,2024-06-15 16:46:39,Captured
137,137,NetBanking,77880.0,2025-03-29 19:54:20,Captured
138,138,UPI,16239.16,2024-06-12 03:40:50,Captured
139,139,UPI,53136.64,2025-01-21 03:48:59,Captured
140,140,UPI,25541.1,2024-02-04 02:19:30,Captured
141,141,UPI,33264.2,2024-08-05 18:51:04,Captured
142,142,Card,73411.34,2024-03-30 00:17:31,Captured
143,143,Card,32370.94,2024-08-02 14:24:24,Captured
144,144,COD,72504.04,2024-11-19 13:14:09,Captured
145,145,NetBanking,285266.42,2025-02-08 07:02:32,Captured
146,146,NetBanking,77510.66,2024-09-03 17:57:12,Captured
147,147,UPI,6407.4,2025-05-01 12:40:30,Captured
148,148,NetBanking,0.0,,Failed
149,149,COD,51464.52,2024-08-04 14:36:06,Captured
150,150,COD,0.0,,Failed
151,151,Card,90690.67,,Authorized
152,152,COD,54131.32,2024-08-28 11:44:35,Captured
153,153,NetBanking,121042.04,,Authorized
154,154,UPI,68344.42,2024-04-15 17:00:30,Captured
155,155,COD,0.0,,Failed
156,156,NetBanking,0.0,,Failed
157,157,COD,0.0,,Failed
158,158,COD,0.0,,Failed
159,159,UPI,9011.72,2024-03-25 19:17:01,Captured
160,160,Card,41980.86,2025-05-26 16:53:14,Captured
161,161,Card,82854.88,2024-10-16 00:45:03,Captured
162,162,Card,57887.73,2025-06-15 21:52:10,Captured
163,163,NetBanking,95272.02,2025-01-04 13:17:40,Captured
164,164,COD,0.0,,Failed
165,165,NetBanking,63128.41,2025-01-02 02:26:12,Captured
166,166,Card,51774.86,2024-01-31 00:21:03,Captured
167,167,NetBanking,61124.89,2024-08-01 20:03:50,Captured
168,168,NetBanking,172842.86,2025-02-26 04:32:04,Captured
169,169,UPI,6638.68,2025-02-09 14:23:12,Captured
170,170,COD,109193.66,2025-08-11 10:43:03,Captured
171,171,Card,81208.78,2025-06-27 17:02:47,Captured
172,172,COD,10113.43,2024-03-09 06:42:21,Captured
173,173,Card,30946.68,2025-07-17 07:05:11,Captured
174,174,Card,137599.09,2024-12-18 14:59:00,Captured
175,175,Card,134194.32,,Authorized
176,176,NetBanking,101127.18,,Authorized
177,177,UPI,0.0,,Failed
178,178,COD,198705.04,2025-01-27 08:04:57,Captured
179,179,UPI,254580.63,2024-09-24 15:48:09,Captured
180,180,Card,0.0,,Failed
181,181,NetBanking,112406.8,2024-03-19 04:50:04,Captured
182,182,UPI,202134.35,,Authorized
183,183,NetBanking,181821.24,2024-04-08 21:54:35,Captured
184,184,UPI,153373.92,,Authorized
185,185,COD,110656.98,2024-08-30 06:09:51,Captured
186,186,NetBanking,56475.98,2024-09-06 15:35:26,Captured
187,187,UPI,80247.08,2025-07-13 00:29:24,Captured
188,188,NetBanking,5602.64,2024-09-29 12:38:31,Captured
189,189,NetBanking,0.0,,Failed
190,190,NetBanking,9648.86,2025-03-06 10:22:17,Captured
