shipment_id,order_id,carrier,tracking_no,shipped_at,delivered_at,status
1,1,EcomExpress,EC-0000001,2024-12-18 08:57:57,2024-12-21 08:57:57,Delivered
2,4,Delhivery,DE-0000004,2025-02-05 14:40:07,,Shipped
3,5,EcomExpress,EC-0000005,2025-04-24 21:01:19,2025-04-28 21:01:19,Delivered
4,8,DTDC,DT-0000008,2025-06-24 14:37:48,,Shipped
5,10,BlueDart,BL-0000010,2024-12-20 20:26:10,2024-12-24 20:26:10,Delivered
6,11,BlueDart,BL-0000011,2025-04-27 02:55:13,2025-04-28 02:55:13,Delivered
7,15,Delhivery,DE-0000015,2024-07-10 22:08:40,,Shipped
8,16,EcomExpress,EC-0000016,2025-08-29 08:59:31,,Shipped
9,17,Delhivery,DE-0000017,2024-12-11 04:05:42,,Shipped
10,18,BlueDart,BL-0000018,2024-06-01 17:03:15,,Shipped
11,20,EcomExpress,EC-0000020,2024-01-08 13:38:02,2024-01-10 13:38:02,Delivered
12,21,Delhivery,DE-0000021,2024-12-24 05:14:48,2024-12-28 05:14:48,Delivered
13,23,DTDC,DT-0000023,2024-03-07 15:01:30,2024-03-10 15:01:30,Delivered
14,24,BlueDart,BL-0000024,2024-09-02 21:11:35,2024-09-07 21:11:35,Delivered
15,26,EcomExpress,EC-0000026,2024-02-25 13:03:39,,Shipped
16,29,XpressBees,XP-0000029,2024-01-16 02:51:40,2024-01-19 02:51:40,Delivered
17,31,DTDC,DT-0000031,2024-02-13 15:21:49,,Shipped
18,33,XpressBees,XP-0000033,2024-02-27 17:32:00,,Shipped
19,34,BlueDart,BL-0000034,2024-06-06 04:07:27,2024-06-09 04:07:27,Delivered
20,37,EcomExpress,EC-0000037,2024-11-18 11:54:11,2024-11-20 11:54:11,Delivered
21,40,XpressBees,XP-0000040,2024-02-20 12:29:38,,Shipped
22,44,XpressBees,XP-0000044,2025-07-24 11:29:49,2025-07-28 11:29:49,Delivered
23,45,DTDC,DT-0000045,2024-11-24 15:01:22,2024-11-25 15:01:22,Delivered
24,51,Delhivery,DE-0000051,2025-04-16 14:26:17,2025-04-20 14:26:17,Delivered
25,58,DTDC,DT-0000058,2025-03-29 14:57:50,,Shipped
26,59,DTDC,DT-0000059,2024-01-17 01:06:36,,Shipped
27,60,Delhivery,DE-0000060,2024-10-16 17:03:56,,Shipped
28,61,Delhivery,DE-0000061,2024-04-10 19:34:22,2024-04-12 19:34:22,Delivered
29,62,XpressBees,XP-0000062,2025-01-11 17:16:43,2025-01-16 17:16:43,Delivered
30,63,Delhivery,DE-0000063,2024-04-16 10:20:19,2024-04-17 10:20:19,Delivered
31,64,XpressBees,XP-0000064,2024-05-25 00:09:20,,Shipped
32,65,BlueDart,BL-0000065,2024-09-01 09:56:32,2024-09-02 09:56:32,Delivered
33,68,EcomExpress,EC-0000068,2025-05-06 12:59:10,2025-05-07 12:59:10,Delivered
34,69,XpressBees,XP-0000069,2024-06-03 16:41:57,2024-06-08 16:41:57,Delivered
35,70,Delhivery,DE-0000070,2024-10-30 12:45:27,2024-11-01 12:45:27,Delivered
36,73,XpressBees,XP-0000073,2024-02-01 01:21:16,,Shipped
37,76,DTDC,DT-0000076,2024-11-23 20:33:56,2024-11-26 20:33:56,Delivered
38,77,BlueDart,BL-0000077,2025-04-10 06:56:16,,Shipped
39,81,EcomExpress,EC-0000081,2025-03-13 11:20:39,2025-03-17 11:20:39,Delivered
40,82,XpressBees,XP-0000082,2025-04-25 08:39:33,,Shipped
41,84,DTDC,DT-0000084,2024-06-11 10:26:30,2024-06-16 10:26:30,Delivered
42,88,DTDC,DT-0000088,2024-10-17 10:39:27,,Shipped
43,90,DTDC,DT-0000090,2024-04-21 12:07:04,2024-04-25 12:07:04,Delivered
44,91,Delhivery,DE-0000091,2024-09-15 01:38:01,2024-09-18 01:38:01,Delivered
45,92,EcomExpress,EC-0000092,2025-06-23 21:18:15,,Shipped
46,93,BlueDart,BL-0000093,2024-04-20 00:15:40,,Shipped
47,94,EcomExpress,EC-0000094,2024-01-18 21:34:19,,Shipped
48,95,EcomExpress,EC-0000095,2024-10-07 15:45:43,2024-10-11 15:45:43,Delivered
